TimePeriod,Service,UsageType,Operation,BlendedCost,AWS Service,Region,Resource Type,Resource ID
"{'Start': '2022-12-12T19:55:15.912019', 'End': '2023-11-22T19:55:15.912021'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 20.45, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-11T19:55:15.912025', 'End': '2023-11-22T19:55:15.912029'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 31.37, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-10T19:55:15.912034', 'End': '2023-11-22T19:55:15.912036'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 98.28, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-09T19:55:15.912040', 'End': '2023-11-22T19:55:15.912042'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 62.35, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-08T19:55:15.912047', 'End': '2023-11-22T19:55:15.912049'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 27.94, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-12-07T19:55:15.912055', 'End': '2023-11-22T19:55:15.912057'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 41.17, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-06T19:55:15.912062', 'End': '2023-11-22T19:55:15.912064'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 31.36, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-05T19:55:15.912069', 'End': '2023-11-22T19:55:15.912070'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 91.68, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-12-04T19:55:15.912076', 'End': '2023-11-22T19:55:15.912077'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 65.3, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-03T19:55:15.912084', 'End': '2023-11-22T19:55:15.912086'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 10.87, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-12-02T19:55:15.912091', 'End': '2023-11-22T19:55:15.912092'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 87.69, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-12-01T19:55:15.912097', 'End': '2023-11-22T19:55:15.912099'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 82.33, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-30T19:55:15.912104', 'End': '2023-11-22T19:55:15.912106'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 65.34, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-29T19:55:15.912110', 'End': '2023-11-22T19:55:15.912114'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 86.62, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-28T19:55:15.912119', 'End': '2023-11-22T19:55:15.912121'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 17.92, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-27T19:55:15.912125', 'End': '2023-11-22T19:55:15.912127'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 57.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-11-26T19:55:15.912132', 'End': '2023-11-22T19:55:15.912133'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 93.47, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-25T19:55:15.912139', 'End': '2023-11-22T19:55:15.912141'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 67.33, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-24T19:55:15.912145', 'End': '2023-11-22T19:55:15.912147'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 34.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-11-23T19:55:15.912152', 'End': '2023-11-22T19:55:15.912156'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 27.41, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-22T19:55:15.912161', 'End': '2023-11-22T19:55:15.912162'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 18.32, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-21T19:55:15.912167', 'End': '2023-11-22T19:55:15.912169'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 80.47, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-20T19:55:15.912175', 'End': '2023-11-22T19:55:15.912177'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 18.2, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-19T19:55:15.912182', 'End': '2023-11-22T19:55:15.912184'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 47.46, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-11-18T19:55:15.912189', 'End': '2023-11-22T19:55:15.912191'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 49.57, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-17T19:55:15.912197', 'End': '2023-11-22T19:55:15.912199'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 88.47, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-16T19:55:15.912204', 'End': '2023-11-22T19:55:15.912206'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 80.18, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-15T19:55:15.912212', 'End': '2023-11-22T19:55:15.912214'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 93.8, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-14T19:55:15.912219', 'End': '2023-11-22T19:55:15.912221'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 59.08, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-13T19:55:15.912226', 'End': '2023-11-22T19:55:15.912227'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 75.05, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-12T19:55:15.912232', 'End': '2023-11-22T19:55:15.912235'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 82.82, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-11T19:55:15.912240', 'End': '2023-11-22T19:55:15.912242'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 57.35, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-10T19:55:15.912247', 'End': '2023-11-22T19:55:15.912249'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 37.48, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-09T19:55:15.912254', 'End': '2023-11-22T19:55:15.912255'}",RDS,RDS:GP2-Storage,GetObject,"{'Amount': 97.41, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-08T19:55:15.912260', 'End': '2023-11-22T19:55:15.912262'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 35.84, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-07T19:55:15.912267', 'End': '2023-11-22T19:55:15.912269'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 50.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-11-06T19:55:15.912275', 'End': '2023-11-22T19:55:15.912278'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 25.2, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-11-05T19:55:15.912283', 'End': '2023-11-22T19:55:15.912285'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 38.49, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-11-04T19:55:15.912290', 'End': '2023-11-22T19:55:15.912292'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 50.61, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-03T19:55:15.912296', 'End': '2023-11-22T19:55:15.912298'}",EC2,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 26.03, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-02T19:55:15.912303', 'End': '2023-11-22T19:55:15.912307'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 69.55, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-11-01T19:55:15.912312', 'End': '2023-11-22T19:55:15.912314'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 78.95, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-31T19:55:15.912318', 'End': '2023-11-22T19:55:15.912320'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 96.56, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-30T19:55:15.912325', 'End': '2023-11-22T19:55:15.912327'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 98.83, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-29T19:55:15.912331', 'End': '2023-11-22T19:55:15.912333'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 10.57, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-28T19:55:15.912338', 'End': '2023-11-22T19:55:15.912339'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 19.34, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-27T19:55:15.912344', 'End': '2023-11-22T19:55:15.912346'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 24.69, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-26T19:55:15.912350', 'End': '2023-11-22T19:55:15.912354'}",EC2,RDS:GP2-Storage,RunInstances,"{'Amount': 16.78, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-25T19:55:15.912359', 'End': '2023-11-22T19:55:15.912360'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 45.54, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-24T19:55:15.912367', 'End': '2023-11-22T19:55:15.912369'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 25.07, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-23T19:55:15.912374', 'End': '2023-11-22T19:55:15.912376'}",S3,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 89.5, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-22T19:55:15.912380', 'End': '2023-11-22T19:55:15.912382'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 36.59, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-21T19:55:15.912387', 'End': '2023-11-22T19:55:15.912389'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 63.25, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-20T19:55:15.912394', 'End': '2023-11-22T19:55:15.912395'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 14.01, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-19T19:55:15.912400', 'End': '2023-11-22T19:55:15.912402'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 34.39, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-18T19:55:15.912407', 'End': '2023-11-22T19:55:15.912408'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 20.19, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-17T19:55:15.912416', 'End': '2023-11-22T19:55:15.912420'}",S3,RDS:GP2-Storage,RunInstances,"{'Amount': 87.0, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-16T19:55:15.912425', 'End': '2023-11-22T19:55:15.912427'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 82.18, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-15T19:55:15.912431', 'End': '2023-11-22T19:55:15.912433'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 31.61, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-14T19:55:15.912438', 'End': '2023-11-22T19:55:15.912441'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 21.58, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-13T19:55:15.912446', 'End': '2023-11-22T19:55:15.912448'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 45.73, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-12T19:55:15.912453', 'End': '2023-11-22T19:55:15.912455'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 47.97, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-11T19:55:15.912462', 'End': '2023-11-22T19:55:15.912464'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 69.5, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-10T19:55:15.912469', 'End': '2023-11-22T19:55:15.912471'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 19.48, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-09T19:55:15.912477', 'End': '2023-11-22T19:55:15.912479'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 86.3, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-08T19:55:15.912484', 'End': '2023-11-22T19:55:15.912486'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 47.7, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-07T19:55:15.912491', 'End': '2023-11-22T19:55:15.912492'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 14.63, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-06T19:55:15.912497', 'End': '2023-11-22T19:55:15.912499'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 51.84, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-05T19:55:15.912503', 'End': '2023-11-22T19:55:15.912505'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 17.63, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-04T19:55:15.912510', 'End': '2023-11-22T19:55:15.912512'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 38.56, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-10-03T19:55:15.912517', 'End': '2023-11-22T19:55:15.912518'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 86.38, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-10-02T19:55:15.912525', 'End': '2023-11-22T19:55:15.912527'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 71.64, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-10-01T19:55:15.912531', 'End': '2023-11-22T19:55:15.912533'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 85.15, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-30T19:55:15.912538', 'End': '2023-11-22T19:55:15.912540'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 90.5, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-29T19:55:15.912545', 'End': '2023-11-22T19:55:15.912546'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 80.43, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-28T19:55:15.912553', 'End': '2023-11-22T19:55:15.912555'}",EC2,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 23.46, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-27T19:55:15.912560', 'End': '2023-11-22T19:55:15.912561'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 54.58, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-26T19:55:15.912566', 'End': '2023-11-22T19:55:15.912568'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 56.72, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-25T19:55:15.912573', 'End': '2023-11-22T19:55:15.912575'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 44.36, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-24T19:55:15.912579', 'End': '2023-11-22T19:55:15.912581'}",S3,RDS:GP2-Storage,GetObject,"{'Amount': 28.55, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-23T19:55:15.912585', 'End': '2023-11-22T19:55:15.912587'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 15.7, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-22T19:55:15.912592', 'End': '2023-11-22T19:55:15.912594'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 82.47, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-21T19:55:15.912601', 'End': '2023-11-22T19:55:15.912604'}",EC2,RDS:GP2-Storage,GetObject,"{'Amount': 95.88, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-20T19:55:15.912609', 'End': '2023-11-22T19:55:15.912613'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 91.99, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-19T19:55:15.912618', 'End': '2023-11-22T19:55:15.912620'}",RDS,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 76.29, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-18T19:55:15.912624', 'End': '2023-11-22T19:55:15.912626'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 40.88, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-17T19:55:15.912632', 'End': '2023-11-22T19:55:15.912634'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 34.36, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-16T19:55:15.912638', 'End': '2023-11-22T19:55:15.912640'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 38.19, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-15T19:55:15.912645', 'End': '2023-11-22T19:55:15.912646'}",RDS,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 87.22, 'Unit': 'USD'}",s3,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-14T19:55:15.912652', 'End': '2023-11-22T19:55:15.912655'}",S3,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 35.68, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-13T19:55:15.912659', 'End': '2023-11-22T19:55:15.912661'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 98.31, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-12T19:55:15.912666', 'End': '2023-11-22T19:55:15.912668'}",RDS,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 43.28, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-11T19:55:15.912672', 'End': '2023-11-22T19:55:15.912674'}",RDS,RDS:GP2-Storage,RunInstances,"{'Amount': 30.95, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-10T19:55:15.912679', 'End': '2023-11-22T19:55:15.912683'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 98.29, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-09T19:55:15.912688', 'End': '2023-11-22T19:55:15.912690'}",RDS,DataTransfer-Out-Bytes,RunInstances,"{'Amount': 35.58, 'Unit': 'USD'}",ec2,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-09-08T19:55:15.912695', 'End': '2023-11-22T19:55:15.912696'}",S3,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 84.56, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-07T19:55:15.912701', 'End': '2023-11-22T19:55:15.912703'}",EC2,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 20.22, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-06T19:55:15.912708', 'End': '2023-11-22T19:55:15.912710'}",EC2,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 69.45, 'Unit': 'USD'}",rds,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-09-05T19:55:15.912714', 'End': '2023-11-22T19:55:15.912716'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 26.79, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-04T19:55:15.912721', 'End': '2023-11-22T19:55:15.912723'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 52.44, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-03T19:55:15.912729', 'End': '2023-11-22T19:55:15.912731'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 39.38, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-02T19:55:15.912736', 'End': '2023-11-22T19:55:15.912738'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 58.77, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-09-01T19:55:15.912744', 'End': '2023-11-22T19:55:15.912746'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 49.51, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-31T19:55:15.912751', 'End': '2023-11-22T19:55:15.912753'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 35.2, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-30T19:55:15.912757', 'End': '2023-11-22T19:55:15.912761'}",S3,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 22.27, 'Unit': 'USD'}",ec2,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-29T19:55:15.912766', 'End': '2023-11-22T19:55:15.912769'}",RDS,RDS:GP2-Storage,CreateDBInstance,"{'Amount': 16.79, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-28T19:55:15.912774', 'End': '2023-11-22T19:55:15.912776'}",RDS,EBS:VolumeUsage.gp2,RunInstances,"{'Amount': 35.94, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-27T19:55:15.912782', 'End': '2023-11-22T19:55:15.912784'}",S3,DataTransfer-Out-Bytes,GetObject,"{'Amount': 84.75, 'Unit': 'USD'}",ec2,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-26T19:55:15.912789', 'End': '2023-11-22T19:55:15.912791'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 41.49, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-25T19:55:15.912796', 'End': '2023-11-22T19:55:15.912809'}",S3,EBS:VolumeUsage.gp2,CreateDBInstance,"{'Amount': 58.39, 'Unit': 'USD'}",rds,us-west-2,123456789012,bucket-name/resource-id
"{'Start': '2022-08-24T19:55:15.912814', 'End': '2023-11-22T19:55:15.912817'}",RDS,DataTransfer-Out-Bytes,GetObject,"{'Amount': 20.25, 'Unit': 'USD'}",s3,us-west-2,123456789012,instance-id/resource-id
"{'Start': '2022-08-23T19:55:15.912821', 'End': '2023-11-22T19:55:15.912823'}",S3,EBS:VolumeUsage.gp2,GetObject,"{'Amount': 83.55, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-22T19:55:15.912829', 'End': '2023-11-22T19:55:15.912831'}",EC2,DataTransfer-Out-Bytes,GetObject,"{'Amount': 70.13, 'Unit': 'USD'}",s3,us-west-2,123456789012,db-instance-id/resource-id
"{'Start': '2022-08-21T19:55:15.912835', 'End': '2023-11-22T19:55:15.912837'}",EC2,DataTransfer-Out-Bytes,CreateDBInstance,"{'Amount': 48.44, 'Unit': 'USD'}",rds,us-west-2,123456789012,db-instance-id/resource-id
